                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65554,                0.29342,                0.85043,                0.91051,                0.63153,                0.67599,                0.58133,                0.62551,                0.27368,                0.86926,             0.00047233,             0.00047233,             0.00047233
                      2,                0.67955,                0.30865,                0.84825,                0.90543,                0.64017,                0.68555,                0.58982,                0.65586,                0.29028,                0.87627,             0.00093927,             0.00093927,             0.00093927
                      3,                0.67041,                 0.3118,                0.85238,                0.89169,                0.63301,                0.68009,                0.58295,                0.62533,                0.29077,                0.87037,              0.0013968,              0.0013968,              0.0013968
                      4,                0.67493,                0.31018,                0.85173,                0.89458,                0.63279,                0.67579,                0.57059,                0.63548,                0.28921,                0.87326,              0.0013866,              0.0013866,              0.0013866
                      5,                0.67509,                0.30968,                0.85261,                0.91071,                0.63843,                0.68797,                0.58218,                0.63945,                0.29186,                0.87285,              0.0013866,              0.0013866,              0.0013866
                      6,                0.68627,                 0.3164,                0.85006,                0.90536,                 0.6306,                0.67308,                 0.5734,                0.64022,                 0.2913,                 0.8729,              0.0013724,              0.0013724,              0.0013724
                      7,                0.67579,                0.31521,                0.85625,                0.90154,                0.63335,                0.68542,                0.59018,                0.62815,                0.28692,                0.87199,              0.0013583,              0.0013583,              0.0013583
                      8,                0.69061,                0.31902,                0.84835,                 0.9066,                0.63406,                0.68786,                0.58871,                0.63025,                0.28679,                0.87463,              0.0013441,              0.0013441,              0.0013441
                      9,                0.67239,                0.31286,                0.85464,                0.85901,                0.63353,                0.67393,                 0.5793,                0.62978,                0.28739,                0.87224,                0.00133,                0.00133,                0.00133
                     10,                0.68527,                0.31597,                0.85029,                 0.9005,                0.63802,                0.68774,                0.59241,                 0.6357,                0.28686,                0.87487,              0.0013158,              0.0013158,              0.0013158
                     11,                0.66624,                0.30812,                0.85142,                0.90773,                0.63139,                0.67623,                0.58611,                0.62843,                0.28155,                0.87075,              0.0013017,              0.0013017,              0.0013017
                     12,                0.66927,                 0.3062,                0.84637,                0.90076,                0.62944,                0.67738,                0.57845,                0.62966,                0.28203,                0.87139,              0.0012875,              0.0012875,              0.0012875
