                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79438,                0.34247,                0.89619,                0.89226,                0.67597,                0.70694,                0.57818,                0.67364,                0.29005,                0.87711,               0.000948,               0.000948,               0.000948
                     37,                0.80867,                0.34889,                0.89432,                0.90428,                0.65453,                0.68024,                0.56782,                0.67195,                 0.2983,                0.87731,             0.00093385,             0.00093385,             0.00093385
                     38,                0.79231,                0.34226,                0.89055,                0.77706,                0.65648,                0.67443,                0.56009,                0.68596,                0.29308,                0.88473,              0.0009197,              0.0009197,              0.0009197
                     39,                0.80331,                0.34573,                0.89615,                0.90573,                0.65338,                0.68089,                0.57342,                0.66042,                 0.2886,                0.87662,             0.00090556,             0.00090556,             0.00090556
                     40,                0.79586,                0.34399,                0.89281,                0.90827,                0.65157,                 0.6812,                0.57353,                0.66152,                0.29352,                0.87598,             0.00089141,             0.00089141,             0.00089141
                     41,                0.78127,                0.34236,                0.89075,                 0.9093,                0.65437,                0.68483,                0.57494,                0.64549,                0.28447,                0.87186,             0.00087726,             0.00087726,             0.00087726
                     42,                0.78942,                0.34426,                 0.8927,                0.87921,                0.68188,                0.70787,                0.58153,                0.66178,                0.29767,                 0.8768,             0.00086312,             0.00086312,             0.00086312
                     43,                0.78471,                0.34254,                0.89087,                0.88167,                 0.6294,                0.67835,                0.57282,                0.64516,                0.28508,                0.87242,             0.00084897,             0.00084897,             0.00084897
                     44,                0.77517,                 0.3356,                 0.8899,                0.81375,                0.65705,                0.67452,                0.56377,                0.63226,                0.28129,                0.86864,             0.00083482,             0.00083482,             0.00083482
                     45,                0.78198,                0.33993,                0.88968,                0.89963,                0.65357,                0.69249,                0.57488,                0.66469,                0.28503,                0.87819,             0.00082067,             0.00082067,             0.00082067
                     46,                0.76472,                0.33179,                0.88432,                0.84177,                0.65736,                0.68254,                0.57427,                0.65051,                0.28579,                0.87186,             0.00080653,             0.00080653,             0.00080653
                     47,                0.77128,                0.33194,                0.88705,                0.87621,                0.63304,                0.67557,                0.56355,                0.65417,                0.28761,                0.87518,             0.00079238,             0.00079238,             0.00079238
                     48,                0.76256,                0.33133,                0.88743,                0.89399,                0.62882,                0.68082,                0.57396,                   0.65,                0.28226,                0.87107,             0.00077823,             0.00077823,             0.00077823
                     49,                0.76005,                0.32795,                0.88674,                0.87369,                0.63101,                0.67661,                0.57257,                0.64124,                0.28079,                0.86876,             0.00076409,             0.00076409,             0.00076409
                     50,                0.76178,                0.32961,                 0.8794,                0.87824,                0.63191,                0.67942,                0.57584,                0.62952,                0.27803,                 0.8669,             0.00074994,             0.00074994,             0.00074994
                     51,                0.75648,                0.32826,                0.88373,                 0.8695,                0.63333,                0.67568,                0.56995,                0.65408,                0.27918,                0.87242,             0.00073579,             0.00073579,             0.00073579
                     52,                0.74459,                0.32174,                0.87836,                0.88114,                0.62406,                0.67231,                0.56831,                0.62737,                0.27476,                0.86515,             0.00072164,             0.00072164,             0.00072164
                     53,                0.74873,                0.32466,                 0.8841,                 0.8747,                0.62969,                0.67889,                0.56905,                0.65482,                 0.2777,                0.87417,              0.0007075,              0.0007075,              0.0007075
