                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63789,                0.29059,                0.84482,                0.88233,                0.66718,                0.69609,                0.59551,                0.59371,                0.27442,                0.85477,             0.00047336,             0.00047336,             0.00047336
                      2,                0.65767,                0.31053,                0.84811,                0.90415,                0.64913,                0.70721,                0.59167,                0.63718,                0.28354,                0.86654,             0.00094029,             0.00094029,             0.00094029
                      3,                0.67623,                0.31913,                0.85486,                0.77227,                 0.6575,                0.67837,                0.56481,                 0.6326,                0.29784,                0.86545,              0.0013978,              0.0013978,              0.0013978
                      4,                0.67014,                0.33047,                0.85353,                 0.9005,                0.65519,                0.69147,                0.58893,                0.60837,                0.28666,                0.85917,              0.0013866,              0.0013866,              0.0013866
                      5,                0.66364,                0.31923,                0.85185,                0.90137,                0.65105,                0.68968,                0.57655,                0.61146,                0.28651,                  0.862,              0.0013866,              0.0013866,              0.0013866
                      6,                0.68534,                0.32998,                0.85596,                0.90649,                0.65438,                0.68549,                0.58174,                0.63388,                0.29989,                0.86618,              0.0013724,              0.0013724,              0.0013724
                      7,                0.67989,                0.32458,                0.85432,                0.79141,                0.65714,                0.67256,                0.57179,                0.62055,                0.28398,                 0.8632,              0.0013583,              0.0013583,              0.0013583
                      8,                0.67332,                0.32038,                0.85462,                0.89613,                 0.6378,                0.67744,                0.56924,                0.61975,                0.29088,                0.86509,              0.0013441,              0.0013441,              0.0013441
                      9,                0.66427,                0.32109,                0.85127,                0.89444,                 0.6506,                0.68417,                0.58272,                0.60794,                0.28661,                0.86071,                0.00133,                0.00133,                0.00133
                     10,                 0.6749,                0.31865,                 0.8508,                0.81947,                0.67193,                0.69672,                0.58286,                0.61257,                0.28103,                0.86384,              0.0013158,              0.0013158,              0.0013158
                     11,                 0.6748,                0.31735,                0.85347,                0.82581,                0.62822,                0.68495,                0.56851,                0.63585,                0.29448,                0.87005,              0.0013017,              0.0013017,              0.0013017
                     12,                0.66206,                0.30935,                0.84997,                0.89914,                0.65604,                0.68892,                0.58398,                0.60953,                0.27569,                0.86279,              0.0012875,              0.0012875,              0.0012875
                     13,                0.66583,                0.30986,                0.85123,                 0.8903,                0.63522,                 0.6765,                0.57238,                0.62115,                 0.2774,                0.86415,              0.0012734,              0.0012734,              0.0012734
                     14,                0.65753,                0.31197,                0.85112,                0.88993,                0.62722,                0.68683,                0.58331,                0.60734,                0.27816,                0.86089,              0.0012592,              0.0012592,              0.0012592
                     15,                 0.6665,                0.30717,                0.85272,                0.89076,                0.63619,                0.67614,                0.57733,                0.60631,                0.27901,                0.86055,              0.0012451,              0.0012451,              0.0012451
                     16,                0.67149,                0.31074,                0.85096,                 0.8232,                0.62566,                0.67117,                0.56962,                0.60946,                0.27794,                0.86161,              0.0012309,              0.0012309,              0.0012309
                     17,                0.65571,                0.30479,                 0.8516,                0.85385,                 0.6285,                0.67899,                0.57949,                0.60872,                0.27157,                0.85928,              0.0012168,              0.0012168,              0.0012168
                     18,                0.65026,                0.30616,                0.84942,                0.88466,                0.63398,                0.68669,                0.58798,                0.60632,                0.28221,                0.86075,              0.0012026,              0.0012026,              0.0012026
                     19,                0.65576,                0.30642,                  0.853,                0.84174,                0.62815,                0.67599,                0.58041,                0.59552,                0.27193,                0.85792,              0.0011885,              0.0011885,              0.0011885
                     20,                0.67301,                0.31123,                0.85155,                0.89252,                0.63497,                0.68897,                0.58973,                 0.6055,                 0.2776,                0.86144,              0.0011744,              0.0011744,              0.0011744
                     21,                0.65838,                0.30503,                0.84855,                0.88344,                0.63074,                0.67928,                0.57873,                0.60651,                0.27467,                0.86102,              0.0011602,              0.0011602,              0.0011602
                     22,                0.65803,                0.30448,                0.84776,                0.89084,                0.63222,                0.68054,                0.57739,                0.60533,                0.26873,                0.86032,              0.0011461,              0.0011461,              0.0011461
                     23,                0.65585,                0.30524,                0.84759,                0.87663,                0.63641,                0.69231,                0.59063,                0.60899,                0.27409,                0.85962,              0.0011319,              0.0011319,              0.0011319
                     24,                0.66418,                0.30378,                0.85254,                0.90954,                0.64915,                0.69703,                 0.5988,                0.60095,                0.26801,                0.85907,              0.0011178,              0.0011178,              0.0011178
                     25,                0.63671,                0.29979,                 0.8479,                0.91212,                0.64441,                0.69216,                0.59698,                0.59152,                0.26994,                0.85943,              0.0011036,              0.0011036,              0.0011036
                     26,                0.65284,                0.30418,                0.84694,                0.89909,                0.65506,                0.68338,                0.58244,                0.62644,                0.27851,                0.86557,              0.0010895,              0.0010895,              0.0010895
                     27,                0.65766,                0.30304,                0.84839,                0.89419,                0.63876,                  0.687,                0.58367,                0.62146,                0.27868,                0.86275,              0.0010753,              0.0010753,              0.0010753
                     28,                0.66847,                0.30692,                0.84681,                0.86626,                0.64895,                0.68828,                0.58913,                0.60163,                0.27026,                 0.8583,              0.0010612,              0.0010612,              0.0010612
                     29,                0.63881,                  0.294,                0.85279,                0.85971,                0.65168,                0.68879,                0.59052,                0.59177,                0.25982,                0.85878,               0.001047,               0.001047,               0.001047
                     30,                 0.6227,                0.28876,                0.84018,                0.90922,                0.65543,                0.68282,                0.59171,                0.59593,                0.26274,                0.85924,              0.0010329,              0.0010329,              0.0010329
                     31,                 0.6368,                0.29526,                0.84344,                0.91815,                0.66775,                0.71147,                0.60532,                0.58456,                 0.2642,                0.85538,              0.0010187,              0.0010187,              0.0010187
                     32,                0.63378,                0.29336,                0.84664,                0.91314,                0.64227,                0.68425,                 0.5884,                0.59465,                0.26659,                0.85689,              0.0010046,              0.0010046,              0.0010046
                     33,                0.63877,                0.29522,                 0.8485,                0.88908,                 0.6574,                0.69864,                0.58521,                0.60984,                0.27388,                0.86235,             0.00099044,             0.00099044,             0.00099044
                     34,                 0.6385,                0.37179,                0.84367,                0.91365,                0.67049,                0.70956,                0.60032,                0.60333,                0.27856,                0.85998,             0.00097629,             0.00097629,             0.00097629
                     35,                0.63561,                0.29535,                 0.8459,                0.90598,                0.65668,                0.70709,                  0.601,                0.58537,                0.26249,                0.85496,             0.00096215,             0.00096215,             0.00096215
                     36,                0.64007,                0.29385,                0.84559,                 0.9044,                0.65309,                0.69746,                 0.5945,                0.58647,                0.25769,                0.85603,               0.000948,               0.000948,               0.000948
                     37,                0.62961,                0.28907,                0.84272,                0.89679,                0.63308,                0.68661,                0.59006,                0.58877,                0.26041,                0.85609,             0.00093385,             0.00093385,             0.00093385
                     38,                 0.6267,                0.29103,                0.84254,                0.89704,                0.65727,                0.68779,                0.58772,                0.58818,                0.26076,                0.85648,              0.0009197,              0.0009197,              0.0009197
                     39,                0.62726,                0.29713,                0.84719,                0.90788,                0.65387,                0.69243,                0.59202,                0.58728,                0.26589,                  0.859,             0.00090556,             0.00090556,             0.00090556
                     40,                0.64183,                0.29897,                0.84216,                0.90878,                0.65293,                0.69828,                0.59852,                0.59319,                0.26387,                0.85668,             0.00089141,             0.00089141,             0.00089141
                     41,                0.64189,                0.29958,                0.84558,                0.78753,                0.65796,                0.68684,                0.58872,                0.58491,                0.26152,                0.85528,             0.00087726,             0.00087726,             0.00087726
                     42,                0.63641,                0.29286,                0.84435,                0.77257,                 0.6713,                0.69138,                0.59242,                0.58431,                0.26035,                0.85597,             0.00086312,             0.00086312,             0.00086312
                     43,                0.62804,                  0.289,                0.84727,                0.85002,                0.65814,                 0.6922,                0.58924,                0.57963,                0.26001,                0.85372,             0.00084897,             0.00084897,             0.00084897
                     44,                 0.6251,                0.28796,                0.84524,                0.91102,                0.64519,                0.69052,                0.59111,                0.58362,                 0.2557,                0.85398,             0.00083482,             0.00083482,             0.00083482
                     45,                0.62474,                0.28499,                0.84129,                0.90499,                 0.6555,                0.71112,                0.60269,                0.58967,                0.26042,                0.85608,             0.00082067,             0.00082067,             0.00082067
                     46,                0.61514,                0.28345,                0.84075,                0.85276,                0.65691,                0.69943,                0.60571,                0.57099,                0.25295,                0.85207,             0.00080653,             0.00080653,             0.00080653
                     47,                0.62407,                0.28842,                0.84169,                0.90796,                0.64551,                0.68279,                0.59061,                0.58263,                 0.2553,                0.85321,             0.00079238,             0.00079238,             0.00079238
                     48,                0.62418,                 0.2882,                0.84138,                 0.8295,                0.65751,                0.69217,                0.59812,                 0.5764,                0.25549,                0.85249,             0.00077823,             0.00077823,             0.00077823
