                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61445,                0.27232,                 0.8386,                 0.8999,                0.63465,                 0.7029,                0.59772,                0.60381,                0.26324,                0.86537,             0.00047233,             0.00047233,             0.00047233
                      2,                0.63454,                0.28714,                0.83685,                 0.9095,                0.62847,                0.69416,                0.59304,                0.61795,                0.26979,                0.86725,             0.00093927,             0.00093927,             0.00093927
                      3,                0.62898,                0.29072,                0.84032,                 0.8925,                0.63244,                 0.6887,                0.58732,                0.61375,                 0.2732,                0.86762,              0.0013968,              0.0013968,              0.0013968
                      4,                0.64096,                0.29291,                0.84158,                0.88113,                 0.6275,                0.68806,                 0.5886,                 0.6197,                0.27583,                0.86761,              0.0013866,              0.0013866,              0.0013866
                      5,                0.64574,                0.29632,                0.84316,                  0.911,                 0.6353,                0.69537,                0.59105,                0.62246,                0.28237,                0.86998,              0.0013866,              0.0013866,              0.0013866
                      6,                0.64793,                0.29719,                0.84015,                0.89918,                0.66118,                0.72668,                0.61838,                0.63261,                 0.2846,                0.86792,              0.0013724,              0.0013724,              0.0013724
                      7,                0.65038,                 0.3013,                0.84738,                0.90536,                0.64224,                0.70622,                0.61026,                0.62583,                0.27986,                0.87074,              0.0013583,              0.0013583,              0.0013583
                      8,                0.65974,                0.29979,                0.84036,                0.90301,                 0.6264,                0.69391,                0.59337,                0.61951,                0.27551,                0.86877,              0.0013441,              0.0013441,              0.0013441
                      9,                0.63006,                0.29514,                0.84287,                0.87108,                0.63079,                0.68275,                0.58668,                0.60709,                0.27302,                0.86448,                0.00133,                0.00133,                0.00133
                     10,                0.63684,                0.29223,                0.83863,                0.88765,                 0.6356,                0.69707,                0.60381,                 0.6134,                0.26895,                0.86604,              0.0013158,              0.0013158,              0.0013158
                     11,                0.63291,                0.28976,                0.84159,                 0.9066,                0.63196,                0.68915,                0.58901,                0.62037,                0.27194,                0.86839,              0.0013017,              0.0013017,              0.0013017
                     12,                0.63943,                0.29211,                0.83821,                0.88803,                0.62842,                 0.6869,                0.58976,                0.61163,                0.27344,                0.86639,              0.0012875,              0.0012875,              0.0012875
