                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1924,                 1.1649,                 1.0392,                0.91273,                0.54702,                0.56414,                0.39818,                0.91669,                0.59304,                0.97436,             0.00047336,             0.00047336,             0.00047336
                      2,                 0.9804,                0.60417,                0.95424,                0.63652,                0.58386,                0.61038,                0.44539,                0.85432,                 0.4879,                0.94058,             0.00094029,             0.00094029,             0.00094029
                      3,                0.96024,                0.53635,                0.94463,                0.97202,                0.57323,                0.60909,                0.45261,                0.79007,                 0.4644,                0.91951,              0.0013978,              0.0013978,              0.0013978
                      4,                0.90578,                0.54103,                0.93085,                0.97042,                0.58301,                0.60991,                0.46693,                0.81168,                0.46248,                0.92769,              0.0013866,              0.0013866,              0.0013866
                      5,                0.89136,                0.48556,                0.92098,                0.64715,                0.57966,                0.61483,                0.45927,                0.86996,                0.44955,                0.94137,              0.0013866,              0.0013866,              0.0013866
                      6,                0.87821,                0.46901,                0.91881,                0.64649,                0.58785,                0.61617,                0.49188,                0.72957,                0.39635,                 0.9033,              0.0013724,              0.0013724,              0.0013724
                      7,                0.84168,                 0.4478,                0.90649,                0.64605,                0.58909,                0.61468,                 0.4926,                 0.7104,                0.38239,                0.89503,              0.0013583,              0.0013583,              0.0013583
                      8,                0.85868,                0.44547,                0.90799,                0.97899,                0.59138,                0.65325,                0.51279,                0.73407,                0.37128,                0.90045,              0.0013441,              0.0013441,              0.0013441
                      9,                0.82644,                0.42388,                0.89991,                0.97982,                0.59184,                0.61486,                0.48998,                0.73338,                0.37889,                0.90256,                0.00133,                0.00133,                0.00133
                     10,                0.82607,                0.42487,                0.89575,                0.97857,                0.58778,                0.63591,                0.49874,                0.76695,                0.38425,                0.90631,              0.0013158,              0.0013158,              0.0013158
                     11,                0.84155,                0.41959,                0.90197,                0.98029,                  0.588,                0.64741,                0.50817,                0.72957,                0.36126,                0.90081,              0.0013017,              0.0013017,              0.0013017
                     12,                0.80999,                 0.3971,                0.89368,                0.98118,                0.58973,                0.64256,                0.52145,                 0.6909,                0.34476,                0.89106,              0.0012875,              0.0012875,              0.0012875
                     13,                0.79475,                0.39529,                0.89042,                0.85274,                0.61071,                0.63834,                0.51615,                0.70007,                0.34675,                0.89124,              0.0012734,              0.0012734,              0.0012734
                     14,                0.77243,                0.41129,                0.88589,                0.95982,                0.62503,                0.65258,                 0.5227,                0.70752,                0.35636,                0.88998,              0.0012592,              0.0012592,              0.0012592
                     15,                0.79461,                0.38428,                0.88949,                0.86368,                0.64184,                0.66361,                0.53488,                0.69106,                0.33773,                0.89133,              0.0012451,              0.0012451,              0.0012451
                     16,                0.78944,                0.38087,                0.88501,                0.96936,                  0.636,                0.67049,                0.53683,                0.73799,                0.34462,                0.89762,              0.0012309,              0.0012309,              0.0012309
                     17,                0.78665,                0.37933,                0.88774,                 0.9698,                0.61992,                0.65726,                0.53932,                0.70258,                0.34021,                0.88659,              0.0012168,              0.0012168,              0.0012168
                     18,                0.80485,                0.38511,                0.88909,                 0.7414,                0.62348,                0.65508,                0.53742,                0.68796,                0.33934,                0.88636,              0.0012026,              0.0012026,              0.0012026
                     19,                0.77997,                0.37678,                0.88729,                0.96367,                  0.607,                0.64132,                0.52382,                0.67983,                0.33094,                0.88517,              0.0011885,              0.0011885,              0.0011885
                     20,                0.76526,                0.36934,                 0.8798,                  0.915,                0.61183,                0.64646,                0.52712,                0.68324,                0.33193,                0.88889,              0.0011744,              0.0011744,              0.0011744
                     21,                0.75945,                0.36909,                0.87818,                0.90723,                0.62219,                0.66768,                0.55102,                0.65942,                0.32527,                0.87929,              0.0011602,              0.0011602,              0.0011602
                     22,                0.76183,                0.36874,                0.87734,                0.91123,                 0.6427,                0.67433,                0.55042,                0.65897,                0.31664,                0.87801,              0.0011461,              0.0011461,              0.0011461
                     23,                0.76016,                0.36471,                0.87636,                0.92524,                0.70876,                0.73953,                0.60674,                0.66053,                0.31599,                0.87661,              0.0011319,              0.0011319,              0.0011319
                     24,                0.74968,                0.35682,                0.87789,                0.92272,                0.60608,                0.64459,                0.53273,                0.68214,                0.32054,                0.88299,              0.0011178,              0.0011178,              0.0011178
                     25,                0.74422,                0.35451,                0.87684,                0.96308,                0.70529,                0.76786,                0.61881,                 0.6564,                0.31269,                 0.8782,              0.0011036,              0.0011036,              0.0011036
                     26,                0.74879,                0.35624,                0.87252,                0.96318,                0.62575,                0.66892,                0.55221,                0.70087,                0.32317,                0.88616,              0.0010895,              0.0010895,              0.0010895
                     27,                0.74558,                0.35847,                0.87188,                0.88536,                0.64039,                 0.6731,                0.56098,                0.67529,                0.31405,                0.87954,              0.0010753,              0.0010753,              0.0010753
                     28,                0.73489,                0.34741,                0.86771,                0.87729,                0.62896,                0.66612,                0.54734,                0.71006,                0.31506,                0.88712,              0.0010612,              0.0010612,              0.0010612
                     29,                0.75571,                0.35415,                0.88353,                0.87715,                0.63278,                0.67563,                 0.5614,                0.63803,                0.30102,                0.87299,               0.001047,               0.001047,               0.001047
                     30,                0.71407,                0.34071,                0.86413,                 0.8825,                0.64078,                0.67006,                0.55699,                0.65175,                0.30311,                0.87557,              0.0010329,              0.0010329,              0.0010329
                     31,                0.72024,                0.33971,                0.86553,                0.89954,                0.64666,                0.68583,                0.57155,                 0.6308,                0.29278,                0.87005,              0.0010187,              0.0010187,              0.0010187
                     32,                0.72216,                0.34181,                0.86976,                0.80955,                0.65727,                0.66845,                0.55985,                0.63835,                0.30721,                0.87211,              0.0010046,              0.0010046,              0.0010046
                     33,                0.71369,                0.33868,                0.87029,                 0.8954,                0.63121,                 0.6723,                0.56004,                0.64549,                0.29689,                 0.8739,             0.00099044,             0.00099044,             0.00099044
                     34,                0.71369,                0.64695,                0.86603,                0.89522,                0.63832,                0.66628,                0.55538,                0.64726,                0.30639,                 0.8747,             0.00097629,             0.00097629,             0.00097629
                     35,                0.70476,                0.33967,                0.86517,                0.88291,                 0.7296,                0.74852,                0.60654,                0.63803,                 0.2959,                0.86947,             0.00096215,             0.00096215,             0.00096215
                     36,                0.71264,                0.34195,                0.86665,                0.89104,                0.63799,                0.67764,                0.56331,                0.63766,                0.30589,                0.87277,               0.000948,               0.000948,               0.000948
                     37,                0.72448,                0.34099,                0.86743,                0.87409,                0.63438,                0.67845,                0.56843,                0.64701,                0.30349,                0.87384,             0.00093385,             0.00093385,             0.00093385
                     38,                0.70736,                 0.3418,                0.86408,                0.88061,                0.63321,                0.66656,                0.55556,                0.63732,                0.29562,                0.87256,              0.0009197,              0.0009197,              0.0009197
                     39,                0.70966,                0.34085,                0.86845,                0.92879,                0.64013,                0.67549,                0.56515,                0.64964,                 0.2977,                0.87387,             0.00090556,             0.00090556,             0.00090556
                     40,                0.71911,                0.33813,                0.86199,                0.84694,                 0.6426,                0.67252,                 0.5639,                0.64185,                0.29553,                 0.8721,             0.00089141,             0.00089141,             0.00089141
                     41,                0.70141,                0.33543,                0.86248,                0.89961,                0.63258,                 0.6714,                0.56657,                0.63268,                0.29104,                0.86913,             0.00087726,             0.00087726,             0.00087726
                     42,                0.70565,                0.33062,                0.86297,                0.89528,                0.63677,                0.67664,                0.57433,                0.62591,                0.28823,                0.86776,             0.00086312,             0.00086312,             0.00086312
                     43,                0.70003,                0.32738,                0.86614,                0.87847,                0.63224,                 0.6778,                0.57139,                0.62171,                 0.2873,                0.86558,             0.00084897,             0.00084897,             0.00084897
                     44,                0.69771,                 0.3243,                 0.8653,                0.89426,                0.63302,                0.68063,                0.57829,                0.61794,                0.27834,                0.86534,             0.00083482,             0.00083482,             0.00083482
                     45,                0.68781,                0.31994,                0.85768,                0.93234,                0.71948,                 0.7618,                0.62918,                0.62719,                0.28194,                 0.8683,             0.00082067,             0.00082067,             0.00082067
