                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69055,                0.31487,                0.86218,                0.90686,                0.63881,                0.69252,                0.57562,                0.64835,                0.29181,                0.87605,             0.00047233,             0.00047233,             0.00047233
                      2,                0.71616,                0.32951,                 0.8591,                0.89783,                0.64119,                0.68054,                0.56171,                0.65629,                0.30649,                0.87785,             0.00093927,             0.00093927,             0.00093927
                      3,                0.71178,                0.34069,                0.86475,                0.90245,                0.63224,                0.67629,                0.57023,                0.65597,                0.31244,                0.87856,              0.0013968,              0.0013968,              0.0013968
                      4,                 0.7241,                0.34232,                0.86573,                0.90829,                0.63975,                0.67256,                0.56558,                0.66018,                0.30503,                0.87999,              0.0013866,              0.0013866,              0.0013866
                      5,                0.71944,                0.34119,                0.86553,                0.83652,                0.64129,                 0.6741,                0.56463,                0.65613,                0.30847,                0.87766,              0.0013866,              0.0013866,              0.0013866
                      6,                0.73479,                0.34803,                0.86333,                0.84387,                0.62683,                0.66854,                0.56185,                0.67247,                0.32611,                0.88252,              0.0013724,              0.0013724,              0.0013724
                      7,                0.72716,                0.35062,                0.87115,                0.85367,                0.63853,                0.66684,                0.56091,                0.67523,                0.31372,                0.88492,              0.0013583,              0.0013583,              0.0013583
                      8,                0.72796,                0.34308,                0.85987,                0.88913,                0.63716,                0.68943,                0.57722,                0.66441,                0.30485,                0.88371,              0.0013441,              0.0013441,              0.0013441
                      9,                0.72171,                0.34131,                0.86853,                0.89799,                0.63764,                0.67991,                0.57438,                0.65071,                0.29992,                0.87799,                0.00133,                0.00133,                0.00133
                     10,                0.71807,                0.33382,                0.86125,                0.87442,                 0.6369,                0.67558,                0.57293,                0.65952,                0.30352,                0.88055,              0.0013158,              0.0013158,              0.0013158
                     11,                0.71059,                0.33235,                 0.8642,                0.89254,                0.62009,                0.67488,                0.56991,                0.65567,                0.29821,                0.87868,              0.0013017,              0.0013017,              0.0013017
                     12,                0.71537,                0.33398,                0.85871,                0.94725,                 0.6868,                0.73702,                0.59642,                 0.6391,                0.30268,                0.87486,              0.0012875,              0.0012875,              0.0012875
                     13,                0.70953,                0.33574,                0.86296,                0.89015,                0.62091,                0.66563,                0.54841,                0.68759,                0.31129,                0.88393,              0.0012734,              0.0012734,              0.0012734
                     14,                0.71811,                0.33513,                0.86128,                0.90234,                0.63874,                0.67999,                0.56911,                0.65517,                 0.3051,                0.87704,              0.0012592,              0.0012592,              0.0012592
                     15,                0.70636,                0.32833,                0.85825,                0.84955,                0.63949,                0.68389,                0.58161,                0.64448,                0.29734,                0.87467,              0.0012451,              0.0012451,              0.0012451
                     16,                0.69386,                0.32443,                0.85699,                0.89627,                0.63662,                0.68238,                0.56593,                0.64372,                0.29546,                0.87552,              0.0012309,              0.0012309,              0.0012309
                     17,                0.69469,                 0.3258,                0.85881,                0.90087,                0.63992,                0.68693,                0.57355,                0.64906,                0.29989,                0.87623,              0.0012168,              0.0012168,              0.0012168
                     18,                 0.6972,                0.32752,                0.85799,                0.89779,                0.63977,                0.67935,                0.57441,                 0.6454,                0.29288,                0.87668,              0.0012026,              0.0012026,              0.0012026
                     19,                0.72558,                0.33853,                0.86449,                0.91028,                 0.6341,                0.68069,                 0.5637,                0.66684,                0.30333,                0.87962,              0.0011885,              0.0011885,              0.0011885
                     20,                0.71038,                0.33402,                0.86863,                0.90628,                0.63801,                0.67706,                0.57064,                0.66536,                 0.3021,                0.88111,              0.0011744,              0.0011744,              0.0011744
                     21,                0.72694,                0.34048,                0.86729,                0.90391,                0.63562,                0.67328,                0.56255,                0.65284,                0.30283,                0.87607,              0.0011602,              0.0011602,              0.0011602
                     22,                0.70591,                0.32873,                0.86188,                0.89851,                0.63408,                0.67575,                0.56917,                0.64823,                0.30131,                0.87484,              0.0011461,              0.0011461,              0.0011461
                     23,                0.70899,                0.32539,                0.85999,                0.90664,                0.63972,                0.67885,                0.57458,                 0.6546,                0.29639,                0.87745,              0.0011319,              0.0011319,              0.0011319
                     24,                0.71918,                0.32922,                0.86466,                0.89396,                0.63963,                0.67779,                 0.5711,                0.66648,                 0.3053,                0.87964,              0.0011178,              0.0011178,              0.0011178
                     25,                0.69544,                0.32275,                0.85452,                0.90472,                 0.6402,                0.68875,                0.58377,                 0.6458,                0.28541,                0.87336,              0.0011036,              0.0011036,              0.0011036
                     26,                0.68989,                0.31584,                0.85712,                0.92909,                0.65549,                0.70571,                0.58566,                0.63742,                0.28806,                 0.8734,              0.0010895,              0.0010895,              0.0010895
                     27,                0.67976,                0.31286,                0.85837,                0.89539,                0.64135,                0.67682,                0.56994,                0.62934,                0.28296,                 0.8704,              0.0010753,              0.0010753,              0.0010753
                     28,                0.70816,                0.32624,                0.85544,                0.90124,                0.62947,                0.67497,                0.57502,                0.63811,                0.29048,                0.87026,              0.0010612,              0.0010612,              0.0010612
                     29,                0.69412,                0.32098,                0.85779,                0.87942,                0.62152,                0.68811,                0.57097,                 0.6533,                0.29187,                0.87485,               0.001047,               0.001047,               0.001047
                     30,                0.70333,                0.32327,                0.85983,                0.90662,                 0.6385,                0.68582,                0.57998,                0.64045,                0.28867,                 0.8731,              0.0010329,              0.0010329,              0.0010329
                     31,                0.69955,                0.31879,                0.85938,                0.84425,                0.64266,                0.68187,                0.57953,                0.64078,                0.28396,                0.87329,              0.0010187,              0.0010187,              0.0010187
                     32,                0.69302,                0.31677,                0.86532,                 0.9073,                0.63908,                0.68716,                0.57668,                 0.6399,                0.28848,                0.87561,              0.0010046,              0.0010046,              0.0010046
                     33,                0.69274,                0.31633,                0.86092,                0.90886,                0.63947,                0.68373,                0.57685,                0.65351,                0.28593,                0.87777,             0.00099044,             0.00099044,             0.00099044
                     34,                0.68905,                0.31118,                0.85629,                0.91103,                0.63341,                0.67733,                0.57941,                0.63426,                0.28197,                0.87158,             0.00097629,             0.00097629,             0.00097629
                     35,                0.69175,                0.31896,                0.85659,                0.90842,                  0.632,                0.68403,                0.58889,                0.63675,                0.28572,                0.87282,             0.00096215,             0.00096215,             0.00096215
                     36,                0.69247,                0.31815,                0.85759,                0.91172,                 0.6285,                0.68083,                0.58251,                 0.6357,                0.28529,                0.87273,               0.000948,               0.000948,               0.000948
                     37,                0.69243,                0.31853,                0.85694,                 0.8596,                0.64109,                0.67496,                0.57473,                0.64152,                0.28616,                0.87592,             0.00093385,             0.00093385,             0.00093385
                     38,                0.68928,                0.31285,                0.85413,                0.89686,                0.62736,                0.68039,                0.58411,                0.64242,                0.28409,                0.87403,              0.0009197,              0.0009197,              0.0009197
                     39,                0.68102,                0.30992,                0.85628,                0.90196,                0.63685,                0.68397,                   0.58,                0.63288,                 0.2899,                0.87202,             0.00090556,             0.00090556,             0.00090556
                     40,                0.68955,                  0.316,                0.86199,                0.86656,                0.62945,                0.67712,                 0.5747,                 0.6389,                 0.2867,                0.87622,             0.00089141,             0.00089141,             0.00089141
                     41,                0.69139,                0.31339,                0.85355,                0.90437,                 0.6341,                0.67897,                0.58521,                0.62458,                 0.2785,                0.86976,             0.00087726,             0.00087726,             0.00087726
                     42,                0.68738,                0.30954,                0.85349,                0.90384,                0.63741,                0.67873,                 0.5804,                0.61937,                0.27667,                0.86792,             0.00086312,             0.00086312,             0.00086312
                     43,                0.67037,                 0.3052,                0.85348,                0.85631,                0.64093,                0.68616,                0.58647,                0.63516,                 0.2843,                0.87233,             0.00084897,             0.00084897,             0.00084897
                     44,                 0.6859,                 0.3102,                0.85237,                0.86001,                0.63968,                0.67884,                0.58289,                0.62405,                0.27941,                0.86921,             0.00083482,             0.00083482,             0.00083482
                     45,                 0.6761,                0.30651,                0.85722,                0.85266,                0.64201,                0.68323,                0.57798,                0.62639,                0.27422,                0.86778,             0.00082067,             0.00082067,             0.00082067
                     46,                0.68372,                0.31156,                0.85287,                0.90656,                0.63825,                0.68447,                0.57197,                0.62558,                0.28601,                0.87156,             0.00080653,             0.00080653,             0.00080653
                     47,                 0.6853,                 0.3083,                 0.8584,                0.91012,                0.62985,                0.67858,                0.57556,                0.62462,                0.27952,                0.86787,             0.00079238,             0.00079238,             0.00079238
                     48,                0.66901,                0.30241,                0.84917,                0.90731,                0.64158,                0.68462,                0.59197,                0.61763,                0.27103,                0.86785,             0.00077823,             0.00077823,             0.00077823
                     49,                0.66117,                0.29903,                0.85115,                0.86568,                 0.6339,                0.67664,                0.57639,                0.61835,                0.27258,                0.86691,             0.00076409,             0.00076409,             0.00076409
                     50,                0.67285,                0.30447,                0.85174,                0.90765,                0.64042,                0.68062,                0.58698,                0.62028,                0.27613,                0.86772,             0.00074994,             0.00074994,             0.00074994
                     51,                0.67367,                0.30703,                0.85106,                0.86256,                0.64178,                0.68297,                0.57721,                0.62415,                0.27319,                0.86879,             0.00073579,             0.00073579,             0.00073579
                     52,                0.67517,                0.30582,                0.85391,                  0.866,                0.63594,                0.68213,                0.57827,                 0.6308,                0.27592,                0.87213,             0.00072164,             0.00072164,             0.00072164
                     53,                0.66593,                0.30068,                0.85047,                0.89886,                0.64088,                0.70117,                0.59511,                0.62201,                0.27167,                0.86766,              0.0007075,              0.0007075,              0.0007075
                     54,                0.66661,                0.29828,                0.84961,                0.86993,                0.63265,                0.68327,                0.57825,                0.63331,                0.27548,                0.87205,             0.00069335,             0.00069335,             0.00069335
                     55,                0.66169,                0.29925,                0.85048,                0.87121,                0.63278,                0.68845,                 0.5884,                0.62102,                0.27103,                0.86874,              0.0006792,              0.0006792,              0.0006792
                     56,                0.66568,                0.30145,                0.84849,                0.86857,                0.63283,                0.69264,                0.59057,                  0.618,                0.27284,                0.86884,             0.00066506,             0.00066506,             0.00066506
                     57,                0.65894,                0.29874,                0.85102,                0.91266,                0.62783,                0.69103,                0.58882,                0.61769,                0.27056,                0.86739,             0.00065091,             0.00065091,             0.00065091
                     58,                0.66673,                  0.301,                0.84801,                 0.9004,                0.63754,                0.68251,                0.58203,                0.62361,                0.27651,                0.86802,             0.00063676,             0.00063676,             0.00063676
                     59,                0.66785,                 0.3034,                0.85296,                0.90465,                0.62621,                0.68194,                0.58226,                0.61753,                0.27097,                 0.8671,             0.00062262,             0.00062262,             0.00062262
                     60,                0.67225,                0.30159,                0.85246,                0.91495,                0.62695,                0.67641,                0.58001,                0.62318,                 0.2737,                0.86742,             0.00060847,             0.00060847,             0.00060847
                     61,                0.65711,                0.29869,                0.85146,                0.91491,                0.62903,                0.67499,                0.58311,                0.61119,                0.27009,                0.86531,             0.00059432,             0.00059432,             0.00059432
                     62,                0.66379,                0.29914,                 0.8506,                0.91012,                0.63312,                 0.6793,                0.58467,                0.62023,                0.27268,                0.86718,             0.00058017,             0.00058017,             0.00058017
