                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59337,                0.26538,                0.83348,                0.91581,                 0.6264,                0.70786,                0.60744,                0.60214,                0.26071,                0.86571,             0.00047233,             0.00047233,             0.00047233
                      2,                 0.6088,                0.27666,                0.83107,                0.90835,                0.62609,                0.68929,                 0.5926,                 0.6065,                0.26597,                 0.8644,             0.00093927,             0.00093927,             0.00093927
                      3,                0.60734,                0.28042,                0.83486,                0.88957,                0.63643,                0.68556,                0.59238,                0.60527,                0.26796,                0.86458,              0.0013968,              0.0013968,              0.0013968
                      4,                0.62705,                0.28684,                0.83733,                0.87809,                 0.6422,                0.70115,                  0.594,                0.62126,                 0.2797,                0.86622,              0.0013866,              0.0013866,              0.0013866
                      5,                0.62187,                0.28614,                0.83669,                0.90878,                0.63471,                0.69534,                0.59932,                0.60727,                0.26978,                0.86481,              0.0013866,              0.0013866,              0.0013866
                      6,                0.62076,                0.28258,                0.83394,                 0.9032,                0.63091,                 0.6834,                0.58992,                0.61903,                0.27135,                0.86767,              0.0013724,              0.0013724,              0.0013724
                      7,                0.62332,                0.28655,                0.84088,                 0.9198,                0.64415,                0.69609,                0.59495,                0.63116,                0.27226,                0.87335,              0.0013583,              0.0013583,              0.0013583
                      8,                 0.6512,                0.29019,                 0.8369,                0.90642,                0.63984,                0.69617,                0.59191,                0.62055,                0.27378,                0.86819,              0.0013441,              0.0013441,              0.0013441
                      9,                0.61584,                0.28431,                 0.8383,                0.90537,                0.62775,                0.68645,                0.58974,                0.61017,                0.26697,                0.86693,                0.00133,                0.00133,                0.00133
                     10,                0.61639,                  0.281,                0.83282,                0.89606,                0.63799,                0.70423,                0.60809,                0.60941,                0.26295,                0.86657,              0.0013158,              0.0013158,              0.0013158
                     11,                0.61509,                0.27956,                0.83635,                0.86286,                0.63117,                 0.6845,                0.59327,                  0.608,                0.26681,                0.86581,              0.0013017,              0.0013017,              0.0013017
                     12,                0.63003,                0.28494,                0.83514,                 0.9013,                0.62605,                0.69087,                0.59668,                0.62323,                 0.2711,                0.86909,              0.0012875,              0.0012875,              0.0012875
                     13,                0.61551,                0.28063,                0.83682,                0.91318,                0.63133,                0.69069,                0.59717,                0.60683,                0.26197,                0.86481,              0.0012734,              0.0012734,              0.0012734
                     14,                  0.625,                0.28686,                 0.8337,                0.90548,                0.62992,                0.71002,                0.60943,                0.62477,                 0.2755,                0.86982,              0.0012592,              0.0012592,              0.0012592
                     15,                0.62907,                0.28709,                0.83536,                0.89563,                0.63213,                0.69573,                0.60213,                 0.6105,                0.26923,                0.86607,              0.0012451,              0.0012451,              0.0012451
                     16,                0.62085,                0.28647,                0.83486,                0.91774,                 0.6252,                0.69382,                0.59508,                0.60502,                0.27041,                0.86431,              0.0012309,              0.0012309,              0.0012309
                     17,                0.61762,                0.28174,                0.83526,                0.90495,                0.62842,                0.68894,                 0.5978,                0.61451,                0.27035,                0.86688,              0.0012168,              0.0012168,              0.0012168
                     18,                0.62548,                0.28542,                0.83501,                0.90753,                0.63952,                0.69772,                0.59599,                0.61463,                0.26582,                0.86623,              0.0012026,              0.0012026,              0.0012026
                     19,                0.62794,                0.28854,                0.83642,                0.91495,                0.62603,                0.69271,                0.60472,                0.60275,                0.26189,                0.86457,              0.0011885,              0.0011885,              0.0011885
                     20,                0.61813,                0.28144,                0.84052,                0.90724,                0.63799,                0.70923,                0.61422,                  0.621,                0.26881,                 0.8668,              0.0011744,              0.0011744,              0.0011744
                     21,                0.62315,                0.28385,                0.83772,                0.91003,                0.62837,                0.70269,                0.59941,                0.61123,                0.26503,                 0.8637,              0.0011602,              0.0011602,              0.0011602
                     22,                0.61671,                0.27941,                0.83515,                0.91314,                0.63431,                0.70165,                0.59509,                0.60948,                0.26963,                0.86729,              0.0011461,              0.0011461,              0.0011461
                     23,                0.61394,                0.27898,                0.83443,                0.91775,                0.66783,                0.73729,                0.63249,                0.60612,                0.26454,                 0.8661,              0.0011319,              0.0011319,              0.0011319
                     24,                0.61141,                 0.2778,                0.83692,                0.89992,                0.63796,                0.70389,                0.61044,                0.59792,                0.26557,                0.86389,              0.0011178,              0.0011178,              0.0011178
                     25,                0.61911,                0.28032,                0.83405,                0.90334,                 0.6343,                0.68334,                0.59022,                0.61081,                0.26284,                0.86758,              0.0011036,              0.0011036,              0.0011036
                     26,                0.60716,                0.27607,                0.83457,                0.91906,                 0.6527,                0.72387,                0.61658,                0.59883,                0.26252,                0.86318,              0.0010895,              0.0010895,              0.0010895
                     27,                0.60001,                0.27115,                0.83556,                0.91475,                  0.631,                0.69795,                0.59714,                0.60592,                0.26046,                0.86544,              0.0010753,              0.0010753,              0.0010753
                     28,                0.62777,                0.28336,                0.83413,                0.91194,                0.62508,                 0.6919,                0.59236,                0.61758,                0.27382,                0.86696,              0.0010612,              0.0010612,              0.0010612
                     29,                0.61311,                0.27895,                0.83559,                0.90249,                0.62845,                0.69908,                0.60363,                0.60486,                0.26552,                0.86693,               0.001047,               0.001047,               0.001047
                     30,                 0.6084,                0.27871,                0.83437,                0.91393,                0.63121,                0.70021,                 0.6026,                0.60913,                0.26655,                0.86681,              0.0010329,              0.0010329,              0.0010329
                     31,                 0.6129,                0.27874,                0.83561,                0.89973,                0.63853,                 0.6935,                0.59349,                0.60114,                0.26334,                0.86512,              0.0010187,              0.0010187,              0.0010187
                     32,                0.60688,                0.27741,                0.83936,                0.90284,                0.63267,                0.68739,                0.59277,                0.60409,                 0.2612,                0.86574,              0.0010046,              0.0010046,              0.0010046
                     33,                0.60873,                0.27561,                0.83668,                 0.9107,                0.63086,                0.70514,                0.59854,                0.60646,                0.26387,                0.86464,             0.00099044,             0.00099044,             0.00099044
                     34,                 0.6112,                 0.2753,                0.83392,                0.91266,                0.63583,                0.69256,                0.59982,                0.60087,                0.26592,                0.86402,             0.00097629,             0.00097629,             0.00097629
                     35,                0.61302,                 0.2796,                0.83457,                0.90788,                0.62663,                0.68144,                0.58944,                0.60476,                0.26433,                0.86501,             0.00096215,             0.00096215,             0.00096215
                     36,                0.61092,                0.27766,                0.83545,                0.91622,                0.62774,                0.69008,                0.59892,                0.59811,                0.26217,                0.86422,               0.000948,               0.000948,               0.000948
                     37,                0.60919,                0.27764,                0.83336,                0.91083,                 0.6305,                0.68861,                0.59632,                0.60512,                0.26333,                0.86565,             0.00093385,             0.00093385,             0.00093385
                     38,                0.60332,                0.27418,                 0.8311,                0.90566,                 0.6258,                0.68482,                0.59686,                0.59653,                0.25876,                0.86204,              0.0009197,              0.0009197,              0.0009197
