                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3393,                 1.7861,                 1.0928,                0.93801,                 0.5071,                0.55765,                0.36526,                0.94602,                 1.1178,                0.95768,             0.00046735,             0.00046735,             0.00046735
                      2,                 1.1042,                0.69791,                0.97386,                 0.9407,                 0.5095,                0.55466,                0.35877,                 0.9457,                0.64504,                0.97532,             0.00093434,             0.00093434,             0.00093434
                      3,                 1.0716,                  0.725,                0.95675,                0.95434,                0.52144,                 0.5596,                0.37633,                0.97569,                0.61864,                0.97238,              0.0013919,              0.0013919,              0.0013919
                      4,                 1.0196,                0.58781,                0.94381,                0.87524,                0.52356,                0.47142,                0.31573,                  1.012,                0.72334,                0.96673,              0.0013866,              0.0013866,              0.0013866
                      5,                0.99593,                0.59381,                0.93777,                 0.9639,                0.52899,                0.56834,                0.37349,                 1.0512,                0.56524,                0.97051,              0.0013866,              0.0013866,              0.0013866
                      6,                0.97209,                 0.5415,                0.93492,                0.94657,                0.53701,                 0.5761,                0.41512,                0.93492,                0.52485,                0.94565,              0.0013724,              0.0013724,              0.0013724
                      7,                 0.9909,                0.54705,                0.93759,                 0.9599,                 0.5402,                0.57385,                0.39724,                 0.9493,                0.50037,                0.95024,              0.0013583,              0.0013583,              0.0013583
                      8,                0.96497,                0.53008,                0.93193,                0.64969,                0.54431,                0.58711,                0.42346,                0.88707,                0.48417,                0.93118,              0.0013441,              0.0013441,              0.0013441
                      9,                0.92478,                0.49383,                0.92209,                0.98727,                0.54386,                0.57916,                0.42139,                0.86272,                0.46537,                 0.9308,                0.00133,                0.00133,                0.00133
                     10,                0.96299,                0.51207,                0.93259,                0.64308,                0.54139,                0.57727,                0.42974,                0.80645,                0.45498,                0.92077,              0.0013158,              0.0013158,              0.0013158
                     11,                0.97961,                0.51184,                0.92768,                0.95914,                0.53746,                 0.5704,                0.41543,                0.94349,                 0.4985,                0.93985,              0.0013017,              0.0013017,              0.0013017
                     12,                0.93226,                 0.4822,                 0.9092,                0.63884,                0.54168,                0.58613,                0.44347,                0.85505,                0.44358,                0.92151,              0.0012875,              0.0012875,              0.0012875
                     13,                0.93992,                 0.4906,                0.91593,                0.98932,                0.54592,                0.59262,                0.43829,                0.82863,                  0.437,                0.91954,              0.0012734,              0.0012734,              0.0012734
                     14,                0.90721,                0.48214,                  0.912,                0.97887,                0.53997,                0.58189,                0.44083,                0.81059,                0.44552,                0.90241,              0.0012592,              0.0012592,              0.0012592
                     15,                0.91841,                0.46567,                0.91587,                0.98948,                0.54256,                0.59299,                0.42674,                0.95791,                0.45673,                0.94174,              0.0012451,              0.0012451,              0.0012451
                     16,                0.90032,                 0.5093,                0.92074,                0.98784,                0.54393,                0.59333,                0.45276,                0.77769,                0.42397,                 0.8981,              0.0012309,              0.0012309,              0.0012309
                     17,                0.93566,                0.48056,                 0.9071,                0.98247,                0.54785,                 0.5912,                0.45184,                0.86121,                0.42255,                0.91627,              0.0012168,              0.0012168,              0.0012168
                     18,                0.89352,                0.45322,                0.90223,                0.98489,                0.55187,                0.58853,                0.44691,                  0.831,                0.41629,                0.90679,              0.0012026,              0.0012026,              0.0012026
                     19,                0.87175,                0.43725,                0.90395,                0.98882,                0.54341,                0.59609,                0.45842,                0.77639,                0.40305,                0.89529,              0.0011885,              0.0011885,              0.0011885
                     20,                0.88798,                0.45227,                0.91371,                0.98894,                0.54536,                0.59593,                 0.4389,                0.96761,                0.42707,                0.93668,              0.0011744,              0.0011744,              0.0011744
                     21,                0.87568,                 0.4412,                0.90505,                0.99104,                0.54356,                0.61751,                0.48221,                0.75718,                 0.3879,                0.89771,              0.0011602,              0.0011602,              0.0011602
                     22,                0.86058,                0.43423,                 0.8996,                   0.99,                0.54992,                0.62067,                0.46798,                0.88861,                0.40564,                0.92408,              0.0011461,              0.0011461,              0.0011461
                     23,                0.90479,                0.46569,                0.90672,                0.98514,                0.55229,                0.60884,                0.47005,                0.85284,                0.41207,                0.91068,              0.0011319,              0.0011319,              0.0011319
                     24,                0.87046,                0.45028,                0.89626,                0.99006,                0.54819,                0.61874,                0.47274,                 0.7739,                0.39542,                0.89769,              0.0011178,              0.0011178,              0.0011178
                     25,                0.87134,                0.44172,                0.89609,                0.98233,                  0.551,                0.62039,                0.46719,                 0.8665,                0.41632,                0.91081,              0.0011036,              0.0011036,              0.0011036
                     26,                0.86768,                0.43999,                0.89404,                0.98727,                0.55188,                0.61849,                0.47156,                0.77858,                0.38892,                0.89483,              0.0010895,              0.0010895,              0.0010895
                     27,                0.86555,                0.42924,                0.88799,                0.99008,                0.54905,                0.61111,                0.48624,                0.75932,                0.37622,                0.89158,              0.0010753,              0.0010753,              0.0010753
                     28,                0.83955,                  0.492,                0.89402,                0.98728,                0.55107,                0.61598,                0.48732,                0.75234,                0.36966,                0.88633,              0.0010612,              0.0010612,              0.0010612
                     29,                0.85954,                0.41985,                0.88967,                0.92503,                0.57815,                0.61561,                0.46554,                0.75784,                0.37364,                0.89152,               0.001047,               0.001047,               0.001047
                     30,                0.85137,                0.41885,                0.88224,                0.86625,                0.57927,                0.61904,                0.48913,                0.78478,                0.36921,                0.89188,              0.0010329,              0.0010329,              0.0010329
                     31,                0.82021,                0.40357,                0.88737,                0.84226,                0.57923,                0.61784,                0.48983,                0.76039,                0.37083,                0.88705,              0.0010187,              0.0010187,              0.0010187
                     32,                0.85262,                 0.4096,                0.87848,                0.74989,                0.57923,                0.61204,                0.47753,                0.73875,                 0.3563,                0.88357,              0.0010046,              0.0010046,              0.0010046
                     33,                 0.8292,                0.39375,                0.88117,                0.94503,                0.57822,                 0.6209,                0.49577,                0.75178,                0.36151,                0.88543,             0.00099044,             0.00099044,             0.00099044
                     34,                0.81399,                0.38673,                0.88873,                 0.9432,                0.56965,                0.62398,                0.49354,                0.78698,                0.36286,                0.89379,             0.00097629,             0.00097629,             0.00097629
                     35,                0.83804,                0.40381,                0.88148,                0.87366,                0.57837,                0.62327,                0.47688,                0.85375,                0.38572,                0.90936,             0.00096215,             0.00096215,             0.00096215
